"CODICE_VIA";"NUMEROCOMPLETO";"STATOCIVICO";"GAUSSB_X";"GAUSSB_Y";"WGS84_X";"WGS84_Y";"WEBMERCATOR_X";"WEBMERCATOR_Y";"LAT_WGS84";"LONG_WGS84";"DATA_MODFINE";"IDMASTER";"LIVELLO"
1;"0";8;1514869,0684;5034558,1685;514841,0742;5034538,1522;1023008,4371;5694900,7068;45,4642124694803;9,18984114830154;0;220853;0
10;"";8;1514854,4293;5034789,4462;514853,7376;5034695,0508;1023026,9972;5695124,8228;45,465600000000002;9,19;0;185926;0
50;"0";8;1514781,033;5034829,8089;514753,0393;5034809,7871;1022883,9882;5695289,0873;45,4666593594972;9,18872320481192;0;212782;0
51;"0";8;1514340,6832;5035519,8421;514312,6949;5035499,8054;1022259,1725;5696276,4459;45,4728794765475;9,18311038988124;0;212787;0
52;"0";8;1509554,0756;5036070,1065;509526,1754;5036050,0395;1015443,548;5697075,6824;45,4779139677911;9,12188459328955;0;212797;0
96;"";8;1514950,8274;5034001,1589;514950,1313;5033906,7891;1023161,59;5693998,3746;45,458500000000001;9,1912;0;182740;0
97;"";8;1515461,6922;5034809,2756;515460,9723;5034714,8795;1023891,758;5695151,0593;45,465800000000002;9,197800000000001;0;182741;0
98;"";8;1515147,0558;5034773,2388;515146,3505;5034678,844;1023443,6172;5695100,6701;45,465499999999999;9,1938;0;182742;0
99;"";8;1514747,4889;5034910,1048;514746,8022;5034815,7055;1022875,1263;5695297,564;45,466700000000003;9,188599999999999;0;186632;0
100;"";8;1515234,7344;5034810,1498;515234,025;5034715,7537;1023568,5912;5695153,1003;45,465800000000002;9,194900000000001;0;182743;0
101;"";8;1514613,7484;5035245,2941;514613,0679;5035150,8839;1022685,7974;5695776,9028;45,469700000000003;9,1869;0;185927;0
102;"";8;1514711,6779;5034630,2745;514710,9929;5034535,8843;1022823,2006;5694897,9037;45,464199999999998;9,1882;0;185928;0
103;"";8;1514774,088;5034893,4916;514773,4001;5034799,0928;1022912,9463;5695273,7397;45,4666;9,189;0;182744;0
104;"";8;1514759,8373;5034735,4268;514759,15;5034641,0332;1022892,1254;5695047,9664;45,4651;9,188800000000001;0;182745;0
105;"";8;1514651,4073;5034787,3965;514650,7251;5034693,0012;1022737,9041;5695122,5755;45,465600000000002;9,1874;0;182746;0
106;"";8;1514733,6231;5034794,514;514732,9371;5034700,1184;1022854,9963;5695132,4692;45,465699999999998;9,188499999999999;0;185929;0
107;"";8;1514695,0768;5034739,8091;514694,3925;5034645,4153;1022799,9272;5695054,4439;45,465200000000003;9,188000000000001;0;185033;0
108;"";8;1514808,3571;5034944,1222;514807,6676;5034849,7218;1022961,9134;5695345,9598;45,466999999999999;9,189399999999999;0;182747;0
109;"";8;1514702,9232;5034826,8893;514702,2386;5034732,4927;1022811,39;5695178,8254;45,466000000000001;9,1881;0;182748;0
110;"";8;1514626,443;5034848,984;514625,7619;5034754,5867;1022702,5611;5695210,6464;45,466200000000001;9,187099999999999;0;182749;0
111;"";8;1514703,7525;5034885,5134;514703,0678;5034791,1149;1022812,7661;5695262,5772;45,466500000000003;9,1881;0;185930;0
112;"";8;1514756,7185;5034943,1597;514756,0314;5034848,7593;1022888,3792;5695344,7582;45,466999999999999;9,188800000000001;0;182750;0
113;"";8;1514741,8527;5034933,295;514741,1663;5034838,8949;1022867,1782;5695330,7144;45,466900000000003;9,188599999999999;0;182751;0
114;"";8;1514668,8798;5034878,9341;514668,1968;5034784,5358;1022763,0878;5695253,2939;45,4664;9,1876;0;182752;0
115;"";8;1514559,2971;5034990,277;514558,6192;5034895,8751;1022607,4163;5695412,7325;45,467399999999998;9,1862;0;182753;0
116;"";8;1514621,6763;5035020,0404;514620,9955;5034925,6375;1022696,3406;5695455,0487;45,467700000000001;9,186999999999999;0;185931;0
117;"";8;1514692,54;5035103,3134;514691,8559;5035008,9078;1022797,5255;5695573,7862;45,468499999999999;9,187900000000001;0;185932;0
118;"";8;1514750,3437;5035096,415;514749,6569;5035002,0096;1022879,8142;5695563,7367;45,468400000000003;9,188700000000001;0;182754;0
119;"";8;1514855,9532;5035170,6458;514855,2614;5035076,238;1023030,4505;5695669,4373;45,469099999999997;9,19;0;182755;0
120;"";8;1514820,7991;5035110,5155;514820,109;5035016,1097;1022980,189;5695583,6457;45,468499999999999;9,1896;0;182756;0
121;"";8;1514814,6203;5035197,3923;514813,9305;5035102,9836;1022971,6822;5695707,7907;45,469299999999997;9,189500000000001;0;182757;0
122;"";8;1514673,4562;5035336,2024;514672,7729;5035241,7892;1022771,1248;5695906,591;45,470500000000001;9,1877;0;182758;0
123;"";8;1514680,1471;5035179,8988;514679,4635;5035085,4907;1022780,1329;5695683,2479;45,469099999999997;9,187799999999999;0;185933;0
124;"";8;1514658,8653;5035081,496;514658,1827;5034987,0911;1022749,5006;5695542,7275;45,468299999999999;9,1875;0;185934;0
125;"";8;1514639,6025;5035225,6509;514638,9208;5035131,2413;1022722,549;5695748,7514;45,4696;9,187300000000001;0;182759;0
126;"";8;1514672,415;5035269,1801;514671,7318;5035174,7691;1022769,4193;5695810,8348;45,469900000000003;9,1877;0;182760;0
127;"";8;1514606,8549;5035203,7029;514606,1747;5035109,294;1022675,8432;5695717,502;45,4694;9,1869;0;182761;0
128;"";8;1514662,7041;5034755,6897;514662,0214;5034661,2954;1022753,8845;5695077,2398;45,465299999999999;9,1876;0;182762;0
129;"";8;1514477,7267;5035301,3473;514477,0525;5035206,9353;1022492,2838;5695857,4397;45,470199999999998;9,1852;0;182763;0
130;"";8;1514601,3446;5035322,606;514600,6647;5035228,1933;1022668,3901;5695887,4048;45,470399999999998;9,1868;0;182764;0
131;"";8;1514723,6393;5035397,3075;514722,9537;5035302,8923;1022842,7916;5695993,7294;45,4711;9,1884;0;182765;0
132;"";8;1514469,8485;5035449,8908;514469,1747;5035355,4739;1022481,5521;5696069,7029;45,471600000000002;9,1851;0;185935;0
133;"";8;1514552,4126;5035467,1306;514551,735;5035372,7132;1022599,1858;5696094,0629;45,471699999999998;9,1862;0;185936;0
134;"";8;1514484,8766;5035427,6157;514484,2021;5035333,1996;1022502,88;5696037,8268;45,471400000000003;9,1853;0;182766;0
135;"";8;1514578,6709;5035512,1212;514577,992;5035417,7023;1022636,7281;5696158,2591;45,472099999999998;9,186500000000001;0;182767;0
136;"";8;1514696,9315;5035539,382;514696,2471;5035444,9622;1022805,2315;5696196,8162;45,4724;9,188000000000001;0;182768;0
137;"";8;1514678,797;5034874,3129;514678,1135;5034779,9147;1022777,1938;5695246,6586;45,4664;9,187799999999999;0;186360;0
138;"";8;1514507,2212;5035519,6899;514506,5457;5035425,2708;1022535,0029;5696169,3098;45,472200000000001;9,185600000000001;0;182769;0
139;"";8;1514922,9902;5035412,0254;514922,2953;5035317,6098;1023126,7278;5696014,0863;45,471200000000003;9,190899999999999;0;182770;0
140;"";8;1514992,1704;5035578,5041;514991,4723;5035484,083;1023225,8102;5696251,7183;45,472700000000003;9,191800000000001;0;182771;0
141;"";8;1515039,733;5035349,7345;515039,0327;5035255,3209;1023292,7639;5695924,6879;45,470700000000001;9,192399999999999;0;185937;0
142;"";8;1515099,6627;5035377,048;515098,9596;5035282,6335;1023378,1999;5695963,5077;45,4709;9,193199999999999;0;185938;0
143;"";8;1514546,8289;5035566,9549;514546,1515;5035472,5342;1022591,5633;5696236,7124;45,4726;9,1861;0;182772;0
144;"";8;1514945,2054;5035617,0715;514944,5095;5035522,6492;1023159,0582;5696306,9848;45,473100000000002;9,1912;0;182773;0
145;"";8;1515052,6207;5035290,0913;515051,9198;5035195,6796;1023310,9131;5695839,427;45,470100000000002;9,192600000000001;0;182774;0
146;"";8;1514874,7314;5035282,1742;514874,0388;5035187,7628;1023057,5668;5695828,7207;45,470100000000002;9,190300000000001;0;182775;0
147;"";8;1515025,7535;5035427,2647;515025,0539;5035332,8485;1023273,1206;5696035,5101;45,471400000000003;9,1922;0;182776;0
148;"";8;1514991,6523;5035222,4914;514990,9542;5035128,0819;1023223,8625;5695743,0511;45,469499999999996;9,191800000000001;0;182777;0
