"CODICE","DESC_ESTESA","DESC_ABBREVIATA"
12,"Passeggiata","Psg"
13,"Alzaia","Alz"
14,"Bastioni","Bst"
10,"Cavalcavia","Cav"
11,"Corso","Cso"
16,"Foro","For"
17,"Galleria","Gll"
18,"Giardini","Grd"
27,"Giardino","Grd"
4,"Largo","Lgo"
19,"Monte","Mnt"
20,"Parco","Par"
15,"Passaggio","Pas"
3,"Piazza","Pza"
7,"Piazzale","Ple"
21,"Piazzetta","Pzt"
8,"Ponte","Pte"
26,"Porta","Pta"
28,"Raccordo Cavalcavia","Rca"
22,"Ripa","Rip"
23,"Sito","Sit"
9,"Sottopasso","Stt"
24,"Sottovia","Stv"
25,"Strada","Sda"
29,"Superstrada","Sup"
30,"Tangenziale","Tgz"
1,"Via","Via"
6,"Via privata","Vpr"
2,"Viale","Vle"
5,"Vicolo","Vlo"
31,"Passerella","Psr"
